Sample	CT	log cps/ng	cps/ng
LG-plas-wa-1	16,861	5,48362718	3,05E+05
LG-plas-wa-2	15,268	5,865291637	7,33E+05
LG-plas-wa-3	13,611	6,262460901	1,83E+06
LG-plas-lar-1	15,73	5,754630584	5,68E+05
LG-plas-lar-2	20,664	4,57222665	3,73E+04
LG-plas-lar-3	19,698	4,803613007	6,36E+04
LG-plas-pu-1	20,374	4,641687674	4,38E+04
LG-plas-pu-2	21,16	4,453223747	2,84E+04
LG-plas-pu-3	21,396	4,396767581	2,49E+04
LG-plas-ad-1	27,935	2,829682703	6,76E+02
LG-plas-ad-2	26,11	3,26699698	1,85E+03
LG-plas-ad-3	27,06	3,039328321	1,09E+03
LG-tire-wa-1	16,822	5,492931253	3,11E+05
LG-tire-wa-2	15,515	5,806273811	6,40E+05
LG-tire-wa-3	17,767	5,266541139	1,85E+05
LG-tire-lar-1	20,26	4,669112154	4,67E+04
LG-tire-lar-2	19,127	4,940539758	8,72E+04
LG-tire-lar-3	18,419	5,110183439	1,29E+05
LG-tire-pu-1	24,559	3,638827113	4,35E+03
LG-tire-pu-2	28,542	2,684074924	4,83E+02
LG-tire-pu-3	23,515	3,888896124	7,74E+03
LG-tire-ad-1	26,936	3,068977568	1,17E+03
LG-tire-ad-2	27,755	2,872857459	7,46E+02
LG-tire-ad-3	26,391	3,199765752	1,58E+03
TD-plas-wa-1	21,989	4,254739452	1,80E+04
TD-plas-wa-2	23,996	3,773675372	5,94E+03
TD-plas-wa-3	21,129	4,460830103	2,89E+04
TD-plas-lar-1	24,2	3,72483059	5,31E+03
TD-plas-lar-2	21,911	4,273258917	1,88E+04
TD-plas-lar-3	22,39	4,158439967	1,44E+04
TD-plas-pu-1	25,955	3,304237955	2,01E+03
TD-plas-pu-2	21,667	4,331833801	2,15E+04
TD-plas-pu-3	26,067	3,277372068	1,89E+03
TD-plas-ad-1	27,488	2,936786048	8,65E+02
TD-plas-ad-2	26,88	3,082552445	1,21E+03
TD-plas-ad-3	25,087	3,512287335	3,25E+03
TD-tire-wa-1	20,115	4,703725188	5,06E+04
TD-tire-wa-2	20,681	4,568070581	3,70E+04
TD-tire-wa-3	19,882	4,759725613	5,75E+04
TD-tire-lar-1	23,911	3,793941465	6,22E+03
TD-tire-lar-2	27,231	2,998347249	9,96E+02
TD-tire-lar-3	23,67	3,851748857	7,11E+03
TD-tire-pu-1	26,436	3,188815616	1,54E+03
TD-tire-pu-2	25,689	3,367981413	2,33E+03
TD-tire-pu-3	25,323	3,455749802	2,86E+03
TD-tire-ad-1	24,359	3,686764069	4,86E+03
TD-tire-ad-2	26,277	3,226972645	1,69E+03
TD-tire-ad-3	26,27	3,228647506	1,69E+03